date,yr,mn,dy,rmm1,rmm2,ph,amp
4/5/1975,1975,4,5,-1.3323801,0.678155,8,1.4950401
4/6/1975,1975,4,6,-1.21341,0.36733899,8,1.26779
4/7/1975,1975,4,7,-1.2643501,-6.72E-02,1,1.26613
4/8/1975,1975,4,8,-1.09815,-0.48627001,1,1.20099
4/9/1975,1975,4,9,-0.84250998,-1.18366,2,1.45289
4/10/1975,1975,4,10,-0.66240001,-1.4598401,2,1.60309
4/11/1975,1975,4,11,-0.65794998,-1.5472701,2,1.68135
4/12/1975,1975,4,12,-0.58406001,-2.0250399,2,2.1075799
4/13/1975,1975,4,13,-0.31641001,-2.3662701,2,2.3873301
4/14/1975,1975,4,14,-3.39E-02,-2.69172,2,2.6919301
4/15/1975,1975,4,15,0.27016899,-2.8252299,3,2.83811
4/16/1975,1975,4,16,0.67006302,-2.47312,3,2.56229
4/17/1975,1975,4,17,1.33311,-2.1544099,3,2.53351
4/18/1975,1975,4,18,1.88192,-1.65794,4,2.50807
4/19/1975,1975,4,19,2.0578001,-1.1721801,4,2.3682401
4/20/1975,1975,4,20,2.17908,-0.73154998,4,2.2986
4/21/1975,1975,4,21,2.22366,-0.20938,4,2.2335
4/22/1975,1975,4,22,2.24403,0.30976799,5,2.26531
4/23/1975,1975,4,23,1.88205,0.88283801,5,2.07883
4/24/1975,1975,4,24,1.54311,1.04672,5,1.86462
4/25/1975,1975,4,25,1.10077,0.83877403,5,1.38392
4/26/1975,1975,4,26,0.46127799,0.861274,6,0.97702098
4/27/1975,1975,4,27,-5.07E-02,0.92472798,7,0.92611498
4/28/1975,1975,4,28,-0.31604999,0.838462,7,0.89604902
4/29/1975,1975,4,29,-0.49182999,0.503842,7,0.70409697
4/30/1975,1975,4,30,-0.44264001,0.177417,8,0.47687301
5/1/1975,1975,5,1,-0.51411003,-9.15E-02,1,0.52218503
5/2/1975,1975,5,2,-0.44068,-0.4298,1,0.61557102
5/3/1975,1975,5,3,-0.50384003,-0.63936001,2,0.81402397
5/4/1975,1975,5,4,-0.27851,-0.85404998,2,0.89831799
5/5/1975,1975,5,5,-0.34733,-0.96214002,2,1.02291
5/6/1975,1975,5,6,-0.38306999,-1.1084,2,1.17273
5/7/1975,1975,5,7,-0.14167,-1.06822,2,1.07757
5/8/1975,1975,5,8,-6.28E-02,-0.58036,2,0.58375001
5/9/1975,1975,5,9,-0.19451,-0.48482001,2,0.52238601
5/10/1975,1975,5,10,-2.20E-02,-0.36340001,2,0.36407
5/11/1975,1975,5,11,-8.19E-02,-0.38753,2,0.396101
5/12/1975,1975,5,12,-0.14179,-0.50716001,2,0.52660602
5/13/1975,1975,5,13,-3.00E-02,-0.42515999,2,0.42621601
5/14/1975,1975,5,14,8.26E-02,-0.14576,3,0.16751499
5/15/1975,1975,5,15,0.24927001,-0.2746,3,0.37086701
5/16/1975,1975,5,16,0.29898801,-0.30814999,3,0.42936301
5/17/1975,1975,5,17,2.55E-02,-0.12373,3,0.12633701
5/18/1975,1975,5,18,-7.89E-02,-7.64E-02,1,0.109823
5/19/1975,1975,5,19,-0.22872999,-0.10125,1,0.250139
5/20/1975,1975,5,20,-0.54890001,-0.37039,1,0.66217798
5/21/1975,1975,5,21,-0.79933,-0.37832001,1,0.884332
5/22/1975,1975,5,22,-0.74673003,-0.48262,1,0.88911802
5/23/1975,1975,5,23,-0.60698998,-0.69967002,2,0.92626798
5/24/1975,1975,5,24,-0.55742002,-1.0550801,2,1.19328
5/25/1975,1975,5,25,-0.66338003,-1.1690201,2,1.34413
5/26/1975,1975,5,26,-0.52266997,-1.00327,2,1.13125
5/27/1975,1975,5,27,-0.33289,-0.51683003,2,0.61475903
5/28/1975,1975,5,28,-0.41749999,-0.41312999,1,0.587354
5/29/1975,1975,5,29,-0.52021998,-0.20582999,1,0.559457
5/30/1975,1975,5,30,-0.51056999,7.41E-02,8,0.51591998
5/31/1975,1975,5,31,-0.67028999,0.100024,8,0.67770702
6/1/1975,1975,6,1,-0.80637997,8.94E-03,8,0.80642998
6/2/1975,1975,6,2,-1.19013,-0.29730999,1,1.2266999
6/3/1975,1975,6,3,-1.11652,-0.79881001,1,1.3728499
6/4/1975,1975,6,4,-0.73707998,-1.1811399,2,1.39226
6/5/1975,1975,6,5,-0.18460999,-1.23436,2,1.24809
6/6/1975,1975,6,6,5.29E-02,-1.00591,3,1.0073
6/7/1975,1975,6,7,0.261154,-0.88129997,3,0.91917503
6/8/1975,1975,6,8,0.307477,-0.60602999,3,0.67956603
6/9/1975,1975,6,9,0.56679201,-0.6749,3,0.88132697
6/10/1975,1975,6,10,0.69480902,-0.42120001,4,0.81251001
6/11/1975,1975,6,11,0.68821299,-0.19068,4,0.71414101
6/12/1975,1975,6,12,0.48801801,-3.19E-02,4,0.48905799
6/13/1975,1975,6,13,0.42914101,-7.47E-02,4,0.43558601
6/14/1975,1975,6,14,0.61851501,-1.34E-02,4,0.61865902
6/15/1975,1975,6,15,0.798733,-7.93E-03,4,0.79877198
6/16/1975,1975,6,16,1.00658,-0.14038,4,1.01633
6/17/1975,1975,6,17,1.28269,-9.37E-02,4,1.28611
6/18/1975,1975,6,18,1.74599,-7.33E-02,4,1.74752
6/19/1975,1975,6,19,2.12992,0.28983599,5,2.14955
6/20/1975,1975,6,20,2.0276899,0.68429101,5,2.1400399
6/21/1975,1975,6,21,1.85167,0.82911599,5,2.02882
6/22/1975,1975,6,22,1.40116,1.24376,5,1.8735501
6/23/1975,1975,6,23,1.4060301,1.57154,6,2.1087101
6/24/1975,1975,6,24,1.75611,1.83921,6,2.5429499
6/25/1975,1975,6,25,1.54757,1.46718,5,2.1325099
6/26/1975,1975,6,26,0.935049,1.3614399,6,1.65162
6/27/1975,1975,6,27,9.25E-02,1.47972,6,1.48261
6/28/1975,1975,6,28,-0.63529003,1.6877199,7,1.8033299
6/29/1975,1975,6,29,-1.09272,1.74002,7,2.0546801
6/30/1975,1975,6,30,-1.5203201,1.5635999,7,2.1808801
7/1/1975,1975,7,1,-2.0174501,1.3320301,8,2.4175301
7/2/1975,1975,7,2,-2.1535499,1.22666,8,2.4784
7/3/1975,1975,7,3,-1.99859,1.04255,8,2.2541699
7/4/1975,1975,7,4,-1.84791,0.87839299,8,2.0460601
7/5/1975,1975,7,5,-1.95389,0.647205,8,2.05829
7/6/1975,1975,7,6,-2.08283,0.33127001,8,2.10901
7/7/1975,1975,7,7,-2.00646,0.102029,8,2.0090499
7/8/1975,1975,7,8,-1.73432,-0.35984999,1,1.77126
7/9/1975,1975,7,9,-1.53166,-0.67561001,1,1.67405
7/10/1975,1975,7,10,-1.38563,-0.78382999,1,1.59197
7/11/1975,1975,7,11,-1.25065,-0.77647001,1,1.47208
7/12/1975,1975,7,12,-0.78517997,-1.02601,2,1.29198
7/13/1975,1975,7,13,-0.65886998,-0.99229997,2,1.19113
7/14/1975,1975,7,14,-0.62594002,-1.13098,2,1.29263
